S no:,country,activeDuty,paramilitary,reserves,total,pop2022
1,China,2185000,660000,1170000,4015000,1448471.4
2,India,1455550,2526950,1155000,5137500,1406631.776
3,United States,1388100,0,844950,2233050,334805.269
4,North Korea,1280000,5889000,600000,7769000,25990.679
5,Russia,1014000,554000,2000000,3568000,145805.947
6,Pakistan,654000,291000,550000,1495000,229488.994
7,Iran,610000,40000,350000,1000000,86022.837
8,South Korea,599000,3013500,3100000,6712500,51329.899
9,Vietnam,482000,5040000,5000000,10522000,98953.541
10,Egypt,438500,397000,479000,1314500,106156.692
11,Myanmar,406000,107000,0,513000,55227.143
12,Indonesia,395500,280000,400000,1075500,279134.505
13,Brazil,366500,395000,1340000,2101500,215353.593
14,Thailand,360850,138700,200000,699550,70078.203
15,Turkey,355200,156800,378700,890700,85561.976
16,Colombia,293200,187900,34950,516050,51512.762
17,Sri Lanka,255000,92600,5500,353100,21575.842
18,Japan,247150,14350,56000,317500,125584.838
19,Saudi Arabia,227000,24500,0,251500,35844.909
20,Mexico,216000,111900,81500,409400,131562.772
21,Ukraine,209000,102000,900000,1211000,43192.122
22,France,203250,130800,41050,375100,65584.518
23,Eritrea,201750,0,120000,321750,3662.244
24,Morocco,195800,50000,150000,395800,37772.756
25,Iraq,193000,148000,0,341000,42164.965
26,South Sudan,185000,0,0,185000,11618.511
27,Germany,183500,0,30050,213550,83883.596
28,Afghanistan,178800,99000,0,277800,40754.388
29,Israel,169500,8000,465000,642500,8922.892
30,Syria,169000,100000,0,269000,19364.809
31,Italy,165500,175750,18300,359550,60262.77
32,Bangladesh,163050,63900,0,226950,167885.689
33,Taiwan,163000,11800,1657000,1831800,23888.595
34,United Kingdom,148500,0,78600,227100,68497.907
35,Philippines,143100,62300,131000,336400,112508.994
36,Nigeria,143000,80000,0,223000,216746.934
37,Greece,142700,4000,221350,368050,10316.637
38,Ethiopia,138000,0,0,138000,120812.698
39,DR Congo,134250,0,0,134250,95240.792
40,Algeria,130000,187200,150000,467200,45350.148
41,Azerbaijan,126950,15000,330000,471950,10300.205
42,Cambodia,124300,67000,0,191300,17168.639
43,Venezuela,123000,220000,8000,351000,29266.991
44,Spain,120350,75800,15150,211300,46719.142
45,Poland,114050,75400,0,189450,37739.785
46,Malaysia,113000,267200,51600,431800,33181.072
47,Angola,107000,10000,0,117000,35027.343
48,Sudan,104300,105000,0,209300,45992.02
49,Jordan,100500,15000,65000,180500,10300.869
50,Nepal,96600,15000,0,111600,30225.582
51,Peru,81000,77000,188000,346000,33684.208
52,Chile,77200,44700,40000,161900,19250.195
53,Argentina,72100,31250,0,103350,46010.234
54,Romania,69300,57000,50000,176300,19031.335
55,Canada,67400,4500,35600,107500,38388.419
56,South Africa,65350,0,15050,80400,60756.135
57,United Arab Emirates,63000,0,0,63000,10081.785
58,Lebanon,60000,20000,0,80000,6684.849
59,Australia,58600,0,30100,88700,26068.792
60,Dominican Republic,56050,15000,0,71050,11056.37
61,Singapore,51000,7400,252500,310900,5943.546
62,Cuba,49000,1146500,39000,1234500,11305.652
63,Uzbekistan,48000,20000,0,68000,34382.084
64,Belarus,45350,110000,289500,444850,9432.8
65,Uganda,45000,1400,10000,56400,48432.863
66,Armenia,44800,4300,210000,259100,2971.966
67,Oman,42600,4400,0,47000,5323.993
68,Ecuador,40250,500,118000,158750,18113.361
69,Yemen,40000,0,0,40000,31154.867
70,Kazakhstan,39000,31500,0,70500,19205.043
71,Bulgaria,36950,0,3000,39950,6844.597
72,Turkmenistan,36500,5000,0,41500,6201.943
73,Tunisia,35800,12000,0,47800,12046.656
74,Netherlands,35400,5900,4500,45800,17211.447
75,Bolivia,34100,37100,0,71200,11992.656
76,Chad,33250,11900,0,45150,17413.58
77,Rwanda,33000,2000,0,35000,13600.464
78,Burundi,30050,21000,0,51050,12624.84
79,Sweden,29750,21200,0,50950,10218.971
80,Laos,29100,100000,0,129100,7481.023
81,Zimbabwe,29000,21800,0,50800,15331.428
82,Serbia,28150,3700,50150,82000,8653.016
83,Hungary,27800,12000,20000,59800,9606.259
84,Ivory Coast,27400,0,0,27400,27742.298
85,Portugal,27250,24700,211700,263650,10140.57
86,Tanzania,27000,1400,80000,108400,63298.55
87,Belgium,26300,0,5100,31400,11668.278
88,Cameroon,25400,9000,0,34400,27911.548
89,El Salvador,24500,17000,9900,51400,6550.389
90,Kenya,24100,5000,0,29100,56215.221
91,Finland,23800,14200,216000,254000,5554.96
92,Norway,23250,0,40000,63250,5511.37
93,Austria,22050,0,125600,147650,9066.71
94,Czech Republic,21750,0,0,21750,10736.784
95,Uruguay,21000,1400,0,22400,3496.016
96,Georgia,20650,5400,0,26050,3968.738
97,Lithuania,19850,14400,6700,40950,2661.708
98,Somalia,19800,0,0,19800,16841.795
99,Switzerland,19550,0,196450,216000,8773.637
100,Guatemala,18050,25000,63850,106900,18584.039
101,Kuwait,17500,7100,23700,48300,4380.326
102,Qatar,16500,5000,0,21500,2979.915
103,Slovakia,15850,0,0,15850,5460.193
104,Mauritania,15850,5000,0,20850,4901.981
105,Ghana,15500,0,0,15500,32395.45
106,Croatia,15200,3000,18350,36550,4059.286
107,Zambia,15100,1400,3000,19500,19470.234
108,Cyprus,15000,750,50000,65750,1223.387
109,Honduras,14950,8000,60000,82950,10221.247
110,Denmark,14500,0,44000,58500,5834.95
111,Paraguay,13950,14800,164500,193250,7305.843
112,Senegal,13600,5000,0,18600,17653.671
113,Madagascar,13500,8100,0,21600,29178.077
114,Mali,13000,7800,0,20800,21473.764
115,Nicaragua,12000,0,0,12000,6779.1
116,Mozambique,11200,0,0,11200,33089.461
117,Burkina Faso,11200,250,0,11450,22102.838
118,Kyrgyzstan,10900,9500,0,20400,6728.271
119,Malawi,10700,4200,0,14900,20180.839
120,Bosnia and Herzegovina,10500,0,0,10500,3249.317
121,Djibouti,10450,2650,0,13100,1016.097
122,Republic of the Congo,10000,2000,0,12000,5797.805
123,Namibia,9900,6000,0,15900,2633.874
124,Guinea,9700,2600,0,12300,13865.691
125,Mongolia,9700,7500,137000,154200,3378.078
126,Ireland,9500,0,4050,13550,5020.199
127,Central African Republic,9150,1000,0,10150,5016.678
128,Botswana,9000,0,0,9000,2441.162
129,New Zealand,9000,0,2300,11300,4898.203
130,Tajikistan,8800,7500,0,16300,9957.464
131,Togo,8550,750,0,9300,8680.837
132,Sierra Leone,8500,0,0,8500,8306.436
133,Bahrain,8200,11260,0,19460,1783.983
134,Albania,8000,0,0,8000,2866.374
135,North Macedonia,8000,7600,4850,20450,2081.304
136,Benin,7250,4800,0,12050,12784.726
137,Slovenia,7250,5950,1500,14700,2078.034
138,Brunei,7200,450,700,8350,445.431
139,Estonia,7100,0,17500,24600,1321.91
140,Latvia,6210,0,15900,22110,1848.837
141,Niger,5300,5400,0,10700,26083.66
142,Moldova,5150,900,58000,64050,4013.171
143,Gabon,4700,2000,0,6700,2331.533
144,Guinea-Bissau,4450,0,0,4450,2063.367
145,Trinidad and Tobago,4050,0,0,4050,1406.585
146,Jamaica,3950,0,980,4930,2985.094
147,Papua New Guinea,3600,0,0,3600,9292.169
148,Fiji,3500,0,6000,9500,909.466
149,Guyana,3400,0,670,4070,794.045
150,Montenegro,2350,10100,0,12450,627.95
151,Liberia,2010,0,0,2010,5305.117
152,Lesotho,2000,0,0,2000,2175.699
153,Malta,1950,0,180,2130,444.033
154,Suriname,1840,0,0,1840,596.831
155,Belize,1500,150,700,2350,412.19
156,Equatorial Guinea,1450,0,0,1450,1496.662
157,Bahamas,1300,0,0,1300,400.516
158,Cape Verde,1200,0,0,1200,567.678
159,Luxembourg,900,600,0,1500,642.371
160,Gambia,800,0,0,800,2558.482
161,Barbados,610,0,430,1040,288.023
162,Seychelles,420,0,0,420,99.426
163,Antigua and Barbuda,180,0,80,260,99.509
164,Haiti,150,50,0,200,11680.283
165,Iceland,0,250,0,250,345.393
166,Mauritius,0,2550,0,2550,1274.727
167,Costa Rica,0,9800,0,9800,5182.354
168,Panama,0,26000,0,26000,4446.964
